data_venda,produto,categoria,regiao,vendedor,valor,quantidade,cliente
2024-01-15,Notebook Dell Inspiron,Eletrônicos,Sudeste,Lucas Silva,4500.00,1,Empresa ABC Ltda
2024-01-15,Mouse Logitech MX,Eletrônicos,Sudeste,Lucas Silva,450.00,2,Empresa ABC Ltda
2024-01-18,Notebook Dell Inspiron,Eletrônicos,Sul,Marina Costa,4500.00,1,Tech Solutions
2024-01-20,Cadeira Escritório,Móveis,Sudeste,Lucas Silva,890.00,3,Indústria XPTO
2024-01-22,Monitor LG 27,Eletrônicos,Nordeste,Rafael Santos,1800.00,2,Comércio Y
2024-01-25,Teclado Mecânico,Eletrônicos,Sudeste,Lucas Silva,650.00,5,Coworking Z
2024-01-28,Cadeira Escritório,Móveis,Norte,Ana Oliveira,890.00,2,Empresa ABC Ltda
2024-02-01,Notebook HP Pavilion,Eletrônicos,Sudeste,Marina Costa,3800.00,1,Tech Solutions
2024-02-03,Caneta Esferográfica,Papelaria,Centro-Oeste,Pedro Lima,2.50,50,Coworking Z
2024-02-05,Caderno Universitário,Papelaria,Sudeste,Lucas Silva,25.00,30,Indústria XPTO
2024-02-08,Monitor Samsung 24,Eletrônicos,Sul,Marina Costa,1200.00,4,Comércio Y
2024-02-10,Notebook Lenovo ThinkPad,Eletrônicos,Sudeste,Rafael Santos,5800.00,1,Tech Solutions
2024-02-12,Mesa Escritório,Móveis,Sudeste,Lucas Silva,1500.00,2,Empresa ABC Ltda
2024-02-15,Mouse Logitech MX,Eletrônicos,Nordeste,Ana Oliveira,450.00,3,Comércio Y
2024-02-18,Teclado Mecânico,Eletrônicos,Sul,Marina Costa,650.00,2,Coworking Z
2024-02-20,Notebook Dell Inspiron,Eletrônicos,Sudeste,Lucas Silva,4500.00,2,Tech Solutions
2024-02-22,Cadeira Escritório,Móveis,Centro-Oeste,Pedro Lima,890.00,5,Indústria XPTO
2024-02-25,Monitor LG 27,Eletrônicos,Sudeste,Rafael Santos,1800.00,1,Empresa ABC Ltda
